features,n_features,accuracy
"derivative_skew, raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled",4,0.895
"derivative_skew, spike_prom_skew, spike_prom_mean_scaled, spike_peak_mean_scaled",4,0.895
"derivative_skew, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.895
"derivative_skew, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.895
"derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",4,0.895
"derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",4,0.895
"derivative_skew, spike_peak_mean, spike_prom_mean_scaled, spike_prom_skew_scaled",4,0.895
"derivative_skew, spike_prom_skew, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.895
"derivative_skew, spike_prom_skew, raw_derivative_skew_scaled, spike_peak_mean_scaled",4,0.895
"derivative_skew, spike_prom_skew, raw_derivative_skew_scaled, spike_prom_skew_scaled",4,0.895
"derivative_skew, spike_prom_skew, spike_prom_mean_scaled, spike_prom_skew_scaled",4,0.895
"derivative_skew, raw_derivative_skew, derivative_skew_scaled, spike_prom_skew_scaled",4,0.895
"derivative_skew, spike_prom_skew, spike_prom_mean_scaled, raw_derivative_skew_scaled",4,0.895
"derivative_skew, spike_prom_skew, derivative_skew_scaled, spike_peak_mean_scaled",4,0.895
"derivative_skew, spike_prom_skew, derivative_skew_scaled, spike_prom_skew_scaled",4,0.895
"derivative_skew, spike_prom_skew, derivative_skew_scaled, raw_derivative_skew_scaled",4,0.895
"derivative_skew, spike_prom_skew, derivative_skew_scaled, spike_prom_mean_scaled",4,0.895
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled",4,0.895
"derivative_skew, spike_prom_skew, spike_peak_mean, spike_prom_mean_scaled",4,0.895
"derivative_skew, raw_derivative_skew, raw_derivative_skew_scaled, spike_prom_skew_scaled",4,0.895
"derivative_skew, spike_prom_skew_scaled, spike_peak_mean_scaled",3,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_peak_mean",4,0.895
"derivative_skew, raw_derivative_skew_scaled, spike_prom_skew_scaled",3,0.895
"derivative_skew, spike_prom_skew_scaled",2,0.895
"spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",4,0.895
"derivative_skew, derivative_skew_scaled, spike_prom_skew_scaled",3,0.895
"derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled",3,0.895
"derivative_skew, spike_prom_mean, spike_peak_mean",3,0.895
"derivative_skew, spike_prom_mean, spike_prom_skew_scaled",3,0.895
"derivative_skew, spike_prom_mean, spike_peak_mean_scaled",3,0.895
"derivative_skew, raw_derivative_skew, spike_prom_skew",3,0.895
"derivative_skew, spike_prom_skew, spike_peak_mean_scaled",3,0.895
"derivative_skew, spike_prom_skew, spike_prom_skew_scaled",3,0.895
"derivative_skew, spike_prom_skew, raw_derivative_skew_scaled",3,0.895
"derivative_skew, spike_prom_skew, spike_prom_mean_scaled",3,0.895
"derivative_skew, spike_prom_skew, derivative_skew_scaled",3,0.895
"derivative_skew, raw_derivative_skew, derivative_skew_scaled",3,0.895
"derivative_skew, raw_derivative_skew, spike_prom_skew_scaled",3,0.895
"derivative_skew, raw_derivative_skew, raw_derivative_skew_scaled",3,0.895
"derivative_skew, spike_peak_mean_scaled",2,0.895
"derivative_skew, spike_prom_mean, spike_prom_skew",3,0.895
"derivative_skew, derivative_skew_scaled",2,0.895
"derivative_skew, derivative_skew_scaled, spike_peak_mean_scaled",3,0.895
"derivative_skew, spike_prom_skew",2,0.895
"derivative_skew, raw_derivative_skew_scaled",2,0.895
"derivative_skew, raw_derivative_skew",2,0.895
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",8,0.89
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled",4,0.89
"derivative_skew, spike_peak_mean",2,0.89
"derivative_skew, raw_derivative_skew, derivative_skew_scaled, spike_peak_mean_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.89
"derivative_skew, raw_derivative_skew, raw_derivative_skew_scaled, spike_peak_mean_scaled",4,0.89
"spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, spike_peak_mean_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, spike_prom_skew_scaled",4,0.89
"raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean",3,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.89
"derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled",4,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled",4,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, spike_prom_skew_scaled",4,0.89
"derivative_skew, spike_peak_mean, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, spike_peak_mean_scaled",4,0.89
"derivative_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_peak_mean_scaled",4,0.89
"derivative_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled",4,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled",4,0.89
"derivative_skew_scaled, spike_prom_mean_scaled",2,0.89
"derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",4,0.89
"spike_peak_mean, derivative_skew_scaled",2,0.89
"derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, raw_derivative_skew_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew_scaled, spike_prom_mean_scaled, spike_peak_mean_scaled",3,0.89
"derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled",3,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",3,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",6,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled",3,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",6,0.89
"raw_derivative_skew, derivative_skew_scaled, spike_peak_mean_scaled",3,0.89
"raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled",3,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean_scaled",3,0.89
"spike_prom_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled",3,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean",4,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean",3,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",7,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",7,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, spike_peak_mean, derivative_skew_scaled",3,0.89
"derivative_skew, spike_peak_mean, raw_derivative_skew_scaled",3,0.89
"derivative_skew, spike_peak_mean, spike_prom_skew_scaled",3,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.89
"derivative_skew, spike_peak_mean, spike_peak_mean_scaled",3,0.89
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled",5,0.89
"derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled",5,0.89
"raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, spike_peak_mean_scaled",4,0.89
"raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",4,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.89
"derivative_skew, raw_derivative_skew, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.89
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled",4,0.89
"derivative_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.89
"spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_peak_mean_scaled",4,0.89
"spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled",4,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled",5,0.89
"derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled",5,0.89
"spike_prom_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_peak_mean_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, spike_prom_skew_scaled",5,0.89
"raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled",4,0.89
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled",5,0.89
"derivative_skew, raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.89
"derivative_skew, raw_derivative_skew, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.89
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",4,0.885
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled",4,0.885
"spike_prom_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled",4,0.885
"spike_prom_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",4,0.885
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled",4,0.885
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.885
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",4,0.885
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled",4,0.885
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_peak_mean_scaled",4,0.885
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.885
"spike_prom_mean, derivative_skew_scaled",2,0.885
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",6,0.885
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled",3,0.885
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled",3,0.885
"spike_prom_mean, derivative_skew_scaled, spike_prom_mean_scaled",3,0.885
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled",5,0.885
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",5,0.885
"spike_prom_mean, derivative_skew_scaled, raw_derivative_skew_scaled",3,0.885
"spike_prom_mean, derivative_skew_scaled, spike_peak_mean_scaled",3,0.885
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.885
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled",4,0.88
"derivative_skew_scaled, spike_prom_skew_scaled",2,0.88
"spike_prom_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.88
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled",5,0.88
"spike_prom_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.88
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.88
"derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",3,0.88
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.88
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",6,0.875
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.875
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",6,0.875
"spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.875
"spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.875
"derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.875
"spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",4,0.875
"raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.875
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",5,0.875
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",7,0.875
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.875
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.875
"spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.875
"derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",3,0.875
"raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.875
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",8,0.875
"spike_prom_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",4,0.875
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",5,0.875
"raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",4,0.875
"derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.875
"raw_derivative_skew, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.875
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",6,0.875
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.875
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.875
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",6,0.875
"spike_prom_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.875
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",5,0.875
"derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",4,0.875
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.87
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",6,0.87
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_prom_skew_scaled",4,0.87
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.87
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled",5,0.87
"spike_prom_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",4,0.87
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.87
"spike_prom_mean, derivative_skew_scaled, spike_prom_skew_scaled",3,0.87
"raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",4,0.87
"raw_derivative_skew, derivative_skew_scaled, spike_prom_skew_scaled",3,0.87
"spike_prom_mean, raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.87
"spike_prom_mean, raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.87
"spike_prom_mean, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.865
"spike_prom_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.865
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.865
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.865
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.865
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled",4,0.865
"spike_prom_mean, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.85
"spike_prom_mean, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled",5,0.85
"raw_derivative_skew, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.85
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled",4,0.85
"spike_prom_mean, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",8,0.85
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.85
"raw_derivative_skew, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.85
"derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",4,0.85
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.85
"spike_prom_mean, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_peak_mean_scaled",6,0.85
"spike_prom_mean, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",6,0.85
"spike_prom_mean, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled",6,0.85
"derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",3,0.85
"spike_prom_mean, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled",7,0.85
"raw_derivative_skew, spike_peak_mean, derivative_skew_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.85
"spike_prom_mean, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",7,0.85
"raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",6,0.845
"spike_prom_mean, spike_prom_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",7,0.845
"raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled",5,0.845
"spike_prom_mean, spike_prom_skew, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled",5,0.845
"spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.845
"raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",7,0.845
