features,n_features,accuracy
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_prom_mean_scaled, spike_prom_skew_scaled",5,0.895
"derivative_skew, raw_derivative_skew, spike_prom_skew, spike_prom_mean_scaled, raw_derivative_skew_scaled",5,0.895
"derivative_skew, spike_prom_skew, spike_prom_mean_scaled, raw_derivative_skew_scaled, spike_peak_mean_scaled",5,0.895
"derivative_skew, spike_prom_skew, spike_prom_mean_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.895
"derivative_skew, spike_prom_skew, raw_derivative_skew_scaled, spike_prom_skew_scaled, spike_peak_mean_scaled",5,0.895
"derivative_skew, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_prom_skew_scaled",5,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, spike_prom_skew_scaled, spike_peak_mean_scaled",6,0.895
"derivative_skew, spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_peak_mean_scaled",5,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, raw_derivative_skew_scaled, spike_peak_mean_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, raw_derivative_skew_scaled, spike_prom_skew_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, spike_prom_mean_scaled, spike_peak_mean_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, spike_prom_mean_scaled, raw_derivative_skew_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, derivative_skew_scaled, spike_peak_mean_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, derivative_skew_scaled, spike_prom_skew_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, derivative_skew_scaled, raw_derivative_skew_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, derivative_skew_scaled, spike_prom_mean_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, spike_peak_mean, spike_peak_mean_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, spike_peak_mean, spike_prom_skew_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, spike_peak_mean, raw_derivative_skew_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, spike_peak_mean, spike_prom_mean_scaled",6,0.895
"derivative_skew, spike_prom_mean, raw_derivative_skew, spike_prom_skew, spike_peak_mean, derivative_skew_scaled",6,0.895
"derivative_skew, spike_prom_mean, spike_peak_mean, raw_derivative_skew_scaled, spike_prom_skew_scaled",5,0.895
"spike_prom_mean, spike_peak_mean, derivative_skew_scaled, spike_prom_mean_scaled, spike_peak_mean_scaled",5,0.895
