model,n_comp,cv_acc,cv_std,test_acc,roc_auc
RandomForest,3,0.8897684839432412,0.029552424367734222,0.8846153846153846,0.9431846812799194
LogisticRegression,3,0.8876960418222554,0.056288649383224386,0.8769230769230769,0.9360040312421265
RandomForest,5,0.8800784167289022,0.03694277630317723,0.8923076923076924,0.9581758629377677
LogisticRegression,5,0.8857916355489172,0.04756948870062991,0.8846153846153846,0.9375157470395566
