,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
cluster_size,-0.16179994982413415,-0.0908751820720088,0.0472270249921062,-0.15411230286028071,0.6078516275902206,-0.24623434484160991,0.011963189320023286,0.03972717722601148,-0.07563521687396275,-0.11132266269406217
decay_biphasic_ratio,-0.0228355660666782,0.003445325706776354,0.1870558727652663,0.22675401931745717,0.28809705529612056,0.42166725099854135,-0.4262240354436078,0.0029579658803571126,0.02560203255645268,0.20396016698247585
decay_curvature,0.017445192649303276,0.013286667678393359,0.07858073482536872,0.14426524916432742,0.024134632605271673,0.11959843359639363,0.42803700808740935,0.7680069596092476,-0.20787453598109382,0.028796346880856645
decay_kurtosis,-0.01245109480130727,0.10540867441303628,-0.16483163264684583,-0.25728542255157294,0.28604536164845557,0.4563680355415783,0.06836974734225305,-0.19093994419819035,-0.24383808894171802,0.3613712567824072
decay_linearity,0.16695161411815387,-0.2562910576600118,-0.4743589509191631,0.16310717438385255,0.12015258238246852,0.10073153253823937,-0.004646228698809532,-0.006077285159803283,-0.08631853978262284,0.046693868849441836
decay_r2,0.1323148806596114,-0.09007950736019502,-0.294800108636129,0.39192600354441776,-0.12557215285062015,-0.3973555405181066,-0.1292271101320225,0.03142856711029436,-0.14973303478859565,0.15379476381368792
decay_residual_std,-0.1706272719270197,0.242191627750717,0.47932763050194055,-0.15255300144492714,-0.10857626873282167,-0.06894635938479683,-0.009974412980299822,0.03428890415313087,0.14997300434371985,-0.08145644530867725
decay_skew,0.04093899867352741,0.06262323223446647,0.20499746337417066,0.4775251337774733,0.08849179235226039,0.16419460104286973,-0.24171926195300109,0.2771751711339773,0.15610694721333854,0.10444703786772974
decay_tau,0.11593709545683206,0.01308606770051763,-0.2341403517926163,0.016826890480852678,0.09643651459350107,0.3580558642454725,0.35757277058179426,-0.015893657894436114,0.5682650075753453,-0.3222824148591068
dist_aai_sum,-0.08526084977375512,0.4309268510948356,-0.13756028407131526,0.01484883922945042,-0.1334477753536526,-0.04192820657047503,-0.02624897744802916,-0.023373763946296967,0.03702871983048965,0.21294867497539982
dist_aai_trapz,-0.09178296518605063,0.4298258287034993,-0.14155038165255862,0.0034798055283783596,-0.13441299184312588,-0.03654167660184297,-0.035476264088305384,-0.020412613054417238,0.03441268069597292,0.2004567320238593
dist_skew,0.035303043709859656,0.11106110414001048,0.2590984748775322,0.42317630948247376,0.11736238178219222,-0.003674389197014211,0.2704078177367977,-0.3909879964824101,-0.07760255916844254,0.03724660871186561
distance,0.2980063817658952,0.1848437770855855,-0.023303758316900885,0.07495911003619887,-0.03829609576750464,-0.048052176387898424,0.20770126229244354,-0.12046353087616322,0.21377257442754066,0.1506869378203268
dominance_score,0.3866135593865398,0.07874687365811862,0.0439029487300464,-0.11210561725044231,0.07614089051569205,-0.06611426798616953,-0.18823924581446763,0.044991105879345114,-0.03435978666861338,-0.083280270175454
iso_aai_sum,-0.06524567391355877,0.41612248470907565,-0.24476992226380323,0.007737289877140746,0.12706737851448474,-0.01597531076540419,-0.05916134543250369,0.1184650249208254,-0.07035769833800504,-0.15777629790596592
iso_aai_trapz,-0.07060773701435433,0.4195329931481357,-0.24551940032034952,-0.0017261095020146434,0.11415511450945505,-0.010571015050936855,-0.06694974475422442,0.11569794008662701,-0.06376454307844964,-0.14796682297748426
iso_skew,0.08767167359895063,0.1708624867418523,0.1167070365251262,0.34469634656556025,0.2552999141600297,-0.11149916459468856,0.2984126733615211,-0.25276260113284854,-0.17253080737406962,-0.1656298597360901
isolation,0.2635184733964711,0.14518599660998568,0.04949617820810708,-0.10408723524342597,0.18162641643367772,-0.11561054679601979,-0.03580876744467315,0.019962502461313335,-0.1825084012691631,-0.2647866304939893
local_rank,-0.3453113100649179,-0.09342531514556213,-0.07442960294581333,0.015118501609348516,0.17379881068920905,-0.10318585754988328,0.05210569499414236,-0.05374737075857386,-0.06904385819181062,-0.10746452263225832
local_rank_norm,-0.35557428185350837,-0.05660842157807955,-0.12164119185653219,0.13615422162305235,-0.2075055907274385,0.06035717406215884,0.08377377700496513,-0.0974062843557828,-0.04391491047797289,-0.03239425111748605
prom_gap,-0.3866135560306804,-0.07874687282233023,-0.04390295336261596,0.11210562321329363,-0.07614088734953732,0.06611426402233807,0.18823925197416405,-0.044991102199124874,0.03435979008918418,0.08328027552846322
rise_slope,-0.1842834302703299,0.010865563268923534,-0.14204131600662687,0.20597066550103316,0.0454691410242698,0.009236122806671932,-0.35510470276212425,-0.009200114587742208,0.25233990035199994,-0.4265550459683385
spike_prom,0.3239629778514474,-0.0458043378308383,0.03134527179663706,-0.05032011517416036,-0.09812447813398667,-0.002048148256882261,0.0040656205209892975,-0.05245576006595269,0.16767870857580025,0.03714610949751372
time_to_parent,-0.0870916706817717,-0.03087621722526016,-0.05162056251124113,-0.05027792827840953,0.3619015461801675,-0.39538774334982746,0.06287433422840755,0.11630238116490414,0.51388797915364,0.45121031586125115
