,cluster_size,decay_biphasic_ratio,decay_curvature,decay_kurtosis,decay_linearity,decay_r2,decay_residual_std,decay_skew,decay_tau,dist_aai_sum,dist_aai_trapz,dist_skew,distance,dominance_score,iso_aai_sum,iso_aai_trapz,iso_skew,isolation,local_rank,local_rank_norm,prom_gap,rise_slope,spike_prom,time_to_parent
cluster_size,1.0,0.050451453676894985,-0.04067470263723835,0.030555356929184457,-0.05686494042384806,-0.14611539195258227,0.055830614344571504,-0.052988635109211486,-0.2860052676312342,-0.1443251673233505,-0.13927386482418483,-0.026569224320710644,-0.32306429127043346,-0.16530722756670788,-0.027141322442197968,-0.031121345574715555,-0.019019396907812878,-0.13957464427680147,0.5439567917693331,0.06979193814149094,0.16407355606625212,0.11046949478317147,-0.23178679891998613,0.23803699509594545
decay_biphasic_ratio,0.050451453676894985,1.0,0.036536214608260745,-0.057443472847553134,0.06390052754629116,-0.23696851753669987,-0.05925009026239485,0.30080254690997626,-0.29420418572272006,-0.2713545704282412,-0.26862610719648816,0.0875584125745572,-0.1483902119173093,0.05748360309279604,-0.29292316189632006,-0.2947612357466611,-0.020262034025362564,-0.0867544798307882,-0.025924303145037186,-0.05347269209683227,-0.057361942441723414,-0.043528082225991624,0.10754042874633668,-0.10659602977425303
decay_curvature,-0.04067470263723835,0.036536214608260745,1.0,-0.06444464510099655,0.004625570066046041,0.023986408990964662,-0.0059172232749521185,0.14034898105291324,0.013138076579400103,-0.0199910835937244,-0.02348114193635128,0.01199050179672573,0.07290551393770668,0.03329528533004746,0.014144834288724841,0.00897748481500845,0.06168335603778413,0.06731407890581347,-0.033020533702408296,-0.01589776431740213,-0.032785509619806946,-0.053242289609370275,0.05736800421512329,-0.01492229002993872
decay_kurtosis,0.030555356929184457,-0.057443472847553134,-0.06444464510099655,1.0,0.05670978739772974,-0.28733267861597594,-0.04421329960894266,-0.06902961252945673,0.22209848015550138,0.16017654059713993,0.16100369584385418,-0.016156035644116686,0.17999429209399279,0.05320959913404506,0.16601330818042317,0.16850858323654166,0.047053987836952554,0.13764567770323877,-0.04337762245532307,-0.07912596117353506,-0.052709417612975144,-0.030781886734657985,-0.00930363075792481,-0.05233625286791192
decay_linearity,-0.05686494042384806,0.06390052754629116,0.004625570066046041,0.05670978739772974,1.0,0.43032409312207476,-0.994209888648812,-0.07795644213797075,0.33720621216434665,-0.4070507688968211,-0.4080951677391738,-0.1718209105841454,0.014239717016448602,0.1834632637356749,-0.23555981675861878,-0.24519563447908208,-0.11773556989837596,-0.02571702208525479,-0.11566082140473116,-0.12506043707735498,-0.18326592920803564,-0.005371033260044603,0.3333049148087939,-0.002347428012297137
decay_r2,-0.14611539195258227,-0.23696851753669987,0.023986408990964662,-0.28733267861597594,0.43032409312207476,1.0,-0.44480877321181905,0.11368827451637371,0.23542190712419897,-0.048312239101639204,-0.05579684303032243,0.01459106577682717,0.11482371383782128,0.08840205443949428,-0.010929173959817677,-0.017561760054313497,0.06184987863861272,0.07065409825941207,-0.11468569868426663,-0.06764918251900988,-0.08855659406303926,-0.012456949099340066,0.16539624712522957,0.030441396752757376
decay_residual_std,0.055830614344571504,-0.05925009026239485,-0.0059172232749521185,-0.04421329960894266,-0.994209888648812,-0.44480877321181905,1.0,0.07629207053361162,-0.3269797183202149,0.4113733845537527,0.41293525292714167,0.16655333858089488,-0.007815007220809269,-0.18092812891088947,0.2414918946997659,0.25131258146578417,0.11630412573420801,0.03278183507043591,0.11200799417869796,0.12182263592368489,0.18072699756493046,0.0018910294886872077,-0.32948121300959315,-0.0011889590699007617
decay_skew,-0.052988635109211486,0.30080254690997626,0.14034898105291324,-0.06902961252945673,-0.07795644213797075,0.11368827451637371,0.07629207053361162,1.0,-0.14511916888054255,0.07336920235535847,0.06398846218238224,0.24248036158344324,0.13150356288682663,0.07009350946245646,0.03809224044557014,0.028276059772214753,0.12875043030476038,0.06529854367636452,-0.09782957299978152,-0.0900332750081088,-0.06972808118490884,0.07149760743132885,0.07610584217862597,-0.05039236335441111
decay_tau,-0.2860052676312342,-0.29420418572272006,0.013138076579400103,0.22209848015550138,0.33720621216434665,0.23542190712419897,-0.3269797183202149,-0.14511916888054255,1.0,0.16105886392495103,0.14989948341741574,-0.016274218093115116,0.5186339412575913,0.23128865059168371,0.22949413015675874,0.22168937490483803,0.11375042329198803,0.3440626570080737,-0.29311756786414783,-0.18856162640511182,-0.23126243374297542,-0.12045254570261829,0.2776648910146338,-0.04848826887498657
dist_aai_sum,-0.1443251673233505,-0.2713545704282412,-0.0199910835937244,0.16017654059713993,-0.4070507688968211,-0.048312239101639204,0.4113733845537527,0.07336920235535847,0.16105886392495103,1.0,0.9985988241348526,0.12686088643327717,0.22257846174489498,-0.19126697472171195,0.6547729289640479,0.6783969986204064,0.14371529599931215,0.13967098739251846,0.07401911924360186,0.1895001845416748,0.1921107693169515,0.008609526939688798,-0.42147317698255277,-0.005016735900737705
