n_features,features,cv_acc,cv_std,test_acc,roc_auc
3,"dominance_score,spike_prom,isolation",0.9225728155339805,0.03913038584481348,0.9307692307692308,0.945578231292517
3,"dominance_score,spike_prom,local_rank_norm",0.9226101568334577,0.04687084313272632,0.9230769230769231,0.9326026706979088
3,"dominance_score,spike_prom,rise_slope",0.9148991784914117,0.03867973772186685,0.9230769230769231,0.9497354497354498
3,"dominance_score,spike_prom,local_rank",0.9129387602688575,0.04096434160126419,0.9153846153846154,0.9399092970521542
3,"dominance_score,spike_prom,decay_curvature",0.9109970126960419,0.03534347584566412,0.9076923076923077,0.9390274628369867
3,"dominance_score,spike_prom,decay_linearity",0.9129387602688575,0.04096434160126419,0.9,0.936885865457294
3,"dominance_score,spike_prom,decay_residual_std",0.9129387602688575,0.046063697909238525,0.9,0.9357520786092215
3,"dominance_score,spike_prom,distance",0.9264749813293502,0.04082522751961611,0.8923076923076924,0.9329805996472664
5,"dominance_score,spike_prom,distance,local_rank_norm,local_rank",0.9206684092606423,0.04206254983871808,0.9230769230769231,0.9410430839002268
5,"dominance_score,spike_prom,isolation,rise_slope,decay_tau",0.9206870799103809,0.03370378610495404,0.9230769230769231,0.9472159234063997
5,"dominance_score,spike_prom,rise_slope,decay_tau,cluster_size",0.9090739357729649,0.039886381321436105,0.9230769230769231,0.9462081128747797
5,"dominance_score,spike_prom,local_rank_norm,local_rank,isolation",0.9167849141150113,0.04172853042189638,0.9153846153846154,0.9421768707482994
5,"dominance_score,spike_prom,local_rank,isolation,rise_slope",0.9168035847647499,0.034852827479194895,0.9153846153846154,0.95376669186193
5,"dominance_score,spike_prom,decay_curvature,iso_skew,dist_aai_trapz",0.912957430918596,0.02655177775034994,0.9153846153846154,0.9355001259763164
5,"dominance_score,spike_prom,decay_linearity,decay_residual_std,decay_curvature",0.9168222554144883,0.04419844040491443,0.9,0.9288233812043336
5,"dominance_score,spike_prom,decay_residual_std,decay_curvature,iso_skew",0.9129387602688575,0.03606991709404893,0.8923076923076924,0.9280675233056186
