model,n_components,cv_acc,cv_std,test_acc,roc_auc
RandomForest,3,0.9167016491754122,0.0193317508255427,0.9583333333333334,0.971400966183575
LogisticRegression,3,0.9218890554722637,0.012194722283455918,0.9305555555555556,0.9758454106280193
RandomForest,5,0.9132233883058472,0.01807138465676747,0.9444444444444444,0.9701449275362319
LogisticRegression,5,0.9149325337331333,0.006473984634275553,0.9444444444444444,0.9737198067632851
