,0
dominance_score,209469750110255.62
prom_gap,209469750110255.62
iso_aai_trapz,976.9948924726018
iso_aai_sum,924.6645309285182
dist_aai_trapz,763.7823589843423
dist_aai_sum,713.6065856768802
decay_linearity,19.62156110188654
decay_residual_std,18.22368997067319
local_rank_norm,10.548468945939176
local_rank,10.297243718151963
cluster_size,4.7323160387352345
distance,2.985658433065383
spike_prom,2.6091798444827394
isolation,2.128860085390115
decay_r2,1.8061000693532394
iso_skew,1.4309628704756414
decay_tau,1.4067805032088856
dist_skew,1.3701600163918894
rise_slope,1.3167814056498173
decay_skew,1.2906947928545995
decay_kurtosis,1.2834194952495688
decay_biphasic_ratio,1.1621768222858548
time_to_parent,1.1441834235486446
decay_curvature,1.0540842221358802
