derivative_skew,spike_prom_mean,label
-0.2886907934121084,0.19216350112642558,0
0.04399831419382617,0.12647464836344996,0
-0.07471173865451328,0.14898647161630482,0
-0.2467608905173433,0.14222850733333162,0
0.15561051852896177,0.14671467213795106,0
0.12663766884805944,0.23738793387557525,0
0.08470411751154804,0.13083570866749206,0
-0.015226684386764663,0.180804318019322,0
0.22700946467417957,0.15108341760933397,0
-0.014970966506284393,0.11943782866001128,0
0.460864843046658,0.15359743105040657,0
0.11983029841857291,0.1707401170875087,0
0.1007207809435639,0.21562610678374763,0
0.04805340275189461,0.21778341146076427,0
-0.14036702855198116,0.18088990951839246,0
-0.23292122515946556,0.1301656313844629,0
0.008792696303490536,0.16037586331367493,0
0.010888089332063828,0.16061454505631415,0
-0.14154408901157886,0.16005793776777053,0
0.17388963948893138,0.26614961097406786,0
0.1880899124399234,0.1735409899191423,0
0.010540366174096103,0.17258735145291978,0
0.37716179624924523,0.19989679555098214,0
1.2890979644714826,0.15928577610424588,0
-0.05998264903277288,0.16295093655586246,0
0.014725006676416172,0.14392620290026947,0
0.2309306845382328,0.1658145062385067,0
0.007585402256796079,0.1652073884010315,0
-0.3268612903823391,0.14151323901282412,0
-0.16702139811088734,0.1371297836303711,0
-0.06379877260871386,0.13221203088760372,0
-0.10092272467820945,0.14856812267592462,0
0.0798377662155928,0.1432147599756718,0
0.16867542357214313,0.12051776349544525,0
-0.05463593798803271,0.13526198325618624,0
-0.10893306712171902,0.1384798294511335,0
-0.011767926120214602,0.17618186796033702,0
-0.09088722277641759,0.15699666964596717,0
0.1913719977131954,0.14468663640924403,0
1.1351107552429514,0.1519740504603232,1
0.030401679070915448,0.1664999085503656,0
-0.038359127892198676,0.14174710750579833,0
0.5058097668580795,0.1577397770741407,0
0.2303028394104619,0.19035089015960693,0
0.3582823253359932,0.27433619234297013,0
-0.03922331148379967,0.15292022747378198,0
-0.04787030698177182,0.1031467908415301,0
-0.12689042663623426,0.16634037043597247,0
-0.13396003769148568,0.18955074719020296,0
0.1933730274107088,0.17518635247204759,0
