spike_key,skew_contribution,spike_prob_value,next_auc_preonly,max_second_derivative_raw,window_raw_kurtosis,auc,max_second_derivative,next_sharpness_preonly,next_depth_preonly_raw,next_sharpness_preonly_raw,window_skew,left_based_prom,next_auc_preonly_raw,window_raw_skew,next_depth_preonly,window_kurtosis,label
01_1-2_62_56,0.0701049175373614,0.2523541476744773,0.8874425139262174,0.6479284313479019,0.9371905185617008,0.7063009708217983,0.0488729842498422,0.8618095064053659,0.5297788721360891,0.7050309961910581,0.9860400421887028,1.0,0.0,0.6792637109685613,1.0,0.0,0
01_1-2_829_702,0.0826773618698685,0.345118350408111,0.5338750855388326,0.3554444913778711,0.0933792257392373,0.3495031726776395,1.0,0.0,0.6456599072171297,0.7974515928681593,0.6902666302065692,0.6779591101683985,0.8922554915446851,0.0923933577577019,0.0077187258755638,0.0,0
01_1-1_357_858,0.2636523112713379,0.2238866527500569,0.8724834405019574,0.0,0.7361737283913456,0.2960015015318796,1.0,0.7343826890419006,0.790343853210492,0.6344706281331787,0.7913484302800414,0.7727272741660657,1.0,0.0,0.0,0.0,0
01_1-3_3_103,0.8200799211204046,0.9999999999999998,0.0,1.0,1.0,0.820291856444156,0.621592962892435,0.2071891462606587,0.2549788963754524,0.6055082616074213,1.0,0.9854057493302006,0.0638284207042474,1.0,0.6952343771637668,0.0,1
01_1-3_119_111,0.5096693536864699,0.5958372531537255,0.1050814029614269,0.5675494850819489,0.0,0.0,0.2837325037796577,0.339994541205205,0.2413763931944111,0.4571928685987669,0.0,0.0,0.0650722423078073,0.0,0.0,0.0,0
01_1-3_205_160,0.0464366530200773,0.5003861979886659,0.9927181296050676,0.5270108935868991,0.7507955835625301,0.665273586564061,0.113610765106875,1.0,0.2455842141410962,0.5760796927226275,0.9999999999999998,1.0,0.1419219392339976,1.0,0.9853464304009716,0.0,0
01_1-3_633_452,0.7492829555910336,0.8293126930095764,0.0,0.9056881760533346,0.7216817488805373,0.9297393173634348,0.26719307781769,0.4237163839342308,0.6917527550985604,0.8640183943113684,0.3724114746343665,0.3802793105513967,0.5071438558636194,0.3094612546891386,0.2507086977152072,0.0,1
01_1-3_923_154,0.0870052152860299,0.0723171458839306,0.9992996441162796,0.6543717637902723,0.5515352067553438,0.6939855624898441,0.5500947249798488,0.0941209398997671,0.3331060610629351,0.715472014923127,0.0066376875169707,0.0070654752019944,0.1870955706580631,7.198495568126727e-12,6.718407264376233e-12,0.0,0
01_1-3_976_97,0.0490262243043071,0.1037183079948667,0.9911585941200344,0.0007575078151642,0.3610380932676232,0.0,1.0,0.7753586389510136,0.3577700420401777,0.5745523624469955,0.863058839532582,0.895140111890997,0.077467278125982,0.277391274959789,0.3209010626073927,0.0,0
01_2-2_32_190,0.5525118459886127,0.5044913505940021,0.3601878117320587,0.7284983237901356,0.9491070392925484,0.8539328945572118,0.3893779986106185,0.202777479011288,0.2054459167057767,0.5929308121255913,0.9999999999999998,0.9180051951793966,0.1833316553242952,1.0,0.0899373195675726,0.0,1
01_2-2_32_615,0.1772500257514997,0.3108703475703787,0.9889737991536154,0.5726060398874628,0.0,0.1192381125455629,0.4598916768281523,0.1100351392555448,0.2541061356621162,0.7342844291458853,0.4796980192945262,0.4836058778029597,0.7000100190939864,0.0625816137180316,0.0115272731831484,0.0,0
01_2-2_106_49,0.2772800634652128,0.6852114671028597,0.8622522439678545,0.5452024425171411,0.1485658334841796,0.4481134916278501,0.0543612865530079,0.747420233022646,0.1829886122704582,0.6510478222055531,0.8194449083728291,1.0,0.0,0.4202245594327034,1.0,0.0,1
01_2-2_106_715,0.5063352853678644,0.6345007666444757,0.3565675027544569,0.6908484115201586,0.6091289198822677,0.8693442174435991,0.3005529788513033,0.4620295670097543,0.0,0.5289075905679177,0.5138888888888888,0.5211266379780871,0.8169014515212134,0.0,0.0,0.0,1
01_2-2_113_143,0.0296237270066253,0.4392245417968047,0.9946508649732052,0.7468520740884654,0.2069303961475965,0.9881364628033936,0.4520101335222856,0.1262069267362565,0.6569642924178603,0.5516579286135626,0.8523013606760536,0.8602259451925418,0.0741682357229822,0.1510453359773205,0.0330782854140286,0.0,0
01_2-2_125_582,0.0859779429589046,0.1066463351583116,0.9981014802355404,0.2738053505607937,0.0835216635815105,0.1965956159384321,0.8947347016336291,0.1083860569888939,0.5070381284213539,0.5898833740415214,0.3902436987554388,0.3902436987554388,0.6966316507130441,0.0,0.0,0.0,0
01_2-2_125_684,0.2587107081292722,0.3517970935422131,0.8451621140338443,0.4155115553183681,0.190146694438933,0.356320489366027,0.4743507549123089,0.2330178771680726,0.2516124555436008,0.2372956803498849,0.5487621803771092,0.5487621803771092,0.8426829369073684,0.0,0.0,0.0,0
01_2-2_137_504,1.0,0.8851345158707793,0.5346747150626702,1.0,1.0,0.7183253927331477,0.207304163145076,0.7404291857667376,0.3861122699044875,0.8880395647520515,0.3839274218740088,0.4018666398872874,0.5611685702598556,0.3296550555718406,0.2596103830700881,0.0,1
01_2-2_144_563,0.4849982192076835,0.462605930809159,0.477782634405763,0.6664051138601356,0.5055396732305166,0.4560829913852026,0.3825946152124124,0.3967392266723303,0.1932100558855668,0.5161233617970621,0.4405966305661321,0.4569115818006412,0.6754120646397674,1.1133348674520005e-54,8.075463326919765e-55,0.0,1
01_2-2_144_581,0.0441969427654416,0.2968140890656809,0.9391753655882072,0.5814782245576211,0.0072713877755742,0.0,0.1538955298202602,0.5366317913304853,0.2067632599166969,0.5563084302851367,0.4643966533153164,0.4815929009184206,0.6994512634978792,1.1133348674520005e-54,8.075463326919765e-55,0.0,0
01_2-2_164_173,0.0339641850280442,0.0246678484859758,0.9951175165472655,0.8921240218766191,0.2041969613814485,0.1157226165042515,0.578701137866183,0.8910291635676647,0.9999999999999998,1.0,0.8599671917068189,0.814611317965377,0.185424373743943,0.1340129342986124,0.0041431229158861,0.0,0
