spike_key,video_id,roi_index,frame_index,cascade_peak_idx,prob_value,f_value,skew_contribution,spike_prob_value,max_second_derivative_raw,amplitude,relative_amplitude,rise_time,decay_time,fwhm,auc
01_1-1_1x_28_110,1-1_1x,28,110,107,0.1029256866977674,0.39043551683425903,0.03035400565063206,0.1029256866977674,0.3880161643028259,0.05711357295513153,0.1713465734972511,0.0,1.0,1.0,-0.5992875099182129
01_1-1_1x_28_156,1-1_1x,28,156,152,0.29372025891217646,0.5621902942657471,0.0015506723002952129,0.29372025891217646,0.15577559173107147,0.2461557537317276,0.7788887673979744,2.0,,13.0,3.427215039730072
01_1-1_1x_28_207,1-1_1x,28,207,202,0.2841915627541047,0.7771231532096863,0.11337482382190435,0.2841915627541047,0.26528191566467285,0.26808443665504456,0.5266484216947918,2.0,41.0,10.0,3.0527207106351852
01_1-1_1x_28_292,1-1_1x,28,292,287,0.13201453693248527,0.6423341035842896,0.03290020452206632,0.13201453693248527,0.7328804731369019,0.07490456104278564,0.13200680512207708,1.0,1.0,2.0,-1.7922947257757187
01_1-1_1x_28_319,1-1_1x,28,319,316,0.20050480595303014,0.5625220537185669,0.001396773187140223,0.20050480595303014,0.33293211460113525,0.0651279091835022,0.13093823057442705,0.0,5.0,5.0,0.5453363358974457
01_1-1_1x_28_436,1-1_1x,28,436,431,0.2607540015529542,0.796323835849762,0.020911215530026946,0.2607540015529542,0.4950772523880005,0.36950525641441345,0.8657197090699364,1.0,,6.0,3.7321799397468567
01_1-1_1x_28_707,1-1_1x,28,707,702,0.3637676735366344,0.6344600319862366,0.003114887424331194,0.3637676735366344,0.26112644374370575,0.3551020473241806,1.2711362009349885,3.0,,15.0,5.043953612446785
01_1-1_1x_28_727,1-1_1x,28,727,723,0.19911799183610518,0.6971919536590576,0.0031660860421759526,0.19911799183610518,0.5125721096992493,0.1282660961151123,0.2254530962414636,1.0,1.0,5.0,2.07576984167099
01_1-1_1x_28_748,1-1_1x,28,748,753,0.16257715695557284,0.8105751872062683,0.024175727256753217,0.16257715695557284,0.3968965411186218,0.14716151356697083,0.2218246614660275,2.0,1.0,4.0,0.26889654994010925
01_1-1_1x_28_789,1-1_1x,28,789,788,0.09887476203280327,0.6182030439376831,0.07248347046733811,0.09887476203280327,0.26661378145217896,0.0003502368927001953,0.0005668613765393094,0.0,1.0,3.0,-1.5532484203577042
01_1-1_1x_28_810,1-1_1x,28,810,809,0.10821068373493269,0.5819277763366699,0.0005568717796123349,0.10821068373493269,0.14614146947860718,0.07079543173313141,0.13850704710938244,1.0,1.0,5.0,0.04049423336982727
01_1-1_1x_47_589,1-1_1x,47,589,592,0.09925916268194565,0.2668501138687134,0.014791174928570754,0.09925916268194565,0.30348268523812294,0.14423508942127228,1.176324761759507,0.0,1.0,9.0,1.3594749309122562
01_1-1_1x_47_652,1-1_1x,47,652,647,0.4646632063143725,0.8771178126335144,0.06375191489461353,0.4646632063143725,0.3528232276439667,0.5843529850244522,1.9959808348452177,4.0,,17.0,9.321646310389042
01_1-1_1x_47_731,1-1_1x,47,731,735,0.09268888594686732,0.7657488584518433,0.005122833965662128,0.09268888594686732,0.2768922448158264,0.044694602489471436,0.061985075491744715,0.0,1.0,5.0,-0.48181185126304626
01_1-1_1x_123_62,1-1_1x,123,62,64,0.0749743641403207,0.4194779396057129,0.026341300428941224,0.0749743641403207,0.6899483352899551,0.07777628302574158,0.22761459164169706,0.0,1.0,4.0,-0.24049292504787445
01_1-1_1x_123_101,1-1_1x,123,101,97,0.3100869357866101,0.565960168838501,0.318403907790058,0.3100869357866101,0.37460336089134216,0.2384645938873291,0.7281460029586143,2.0,40.0,9.0,2.870320476591587
01_1-1_1x_123_174,1-1_1x,123,174,175,0.11088971435045533,0.5920723080635071,0.03380241600561051,0.11088971435045533,0.36860302090644836,0.15427187085151672,0.3523794353289229,0.0,1.0,3.0,-0.6602969616651535
01_1-1_1x_123_230,1-1_1x,123,230,226,0.11226858900485906,0.4678250849246979,0.03843886696892411,0.11226858900485906,0.4202786982059479,0.1353229433298111,0.4069836743929474,1.0,1.0,7.0,0.33185961842536926
01_1-1_1x_123_250,1-1_1x,123,250,246,0.26622316232486015,0.7101637721061707,0.14702472649628132,0.26622316232486015,0.5566923469305038,0.3807379752397537,1.1557624778066304,1.0,5.0,9.0,3.135425090789795
01_1-1_1x_123_282,1-1_1x,123,282,277,0.22892880105497365,0.7141969203948975,0.007247731966626238,0.22892880105497365,0.4240105450153351,0.20105764269828796,0.39181885199043776,0.0,7.0,12.0,1.4348470866680145
01_1-1_1x_123_362,1-1_1x,123,362,358,0.17629545316833464,0.6650261282920837,0.003892671933025831,0.17629545316833464,0.39840784668922424,0.23008204996585846,0.5289922576972937,1.0,1.0,6.0,0.8028988540172577
01_1-1_1x_123_433,1-1_1x,123,433,435,0.18815348260249776,0.6254222989082336,0.042335302159556755,0.18815348260249776,0.5087631642818451,0.20148298144340515,0.4752637303099892,1.0,1.0,5.0,0.2628147006034851
01_1-1_1x_123_498,1-1_1x,123,498,498,0.18313365538726173,0.5581797361373901,0.0039982814411831874,0.18313365538726173,0.37601569294929504,0.16970498859882355,0.43684947264680507,0.0,2.0,5.0,1.2927386909723282
01_1-1_1x_123_538,1-1_1x,123,538,534,0.17735962318683363,0.5840911865234375,0.006875242634457556,0.17735962318683363,0.3554823696613312,0.11249126493930817,0.2385311358013886,0.0,6.0,2.0,0.7724605053663254
01_1-1_1x_123_584,1-1_1x,123,584,581,0.20152047360757377,0.7370352745056152,0.029759973721096122,0.20152047360757377,0.4895066022872925,0.2235565483570099,0.43537645665248187,0.0,1.0,1.0,1.3028138279914856
01_1-1_1x_123_629,1-1_1x,123,629,624,0.1463151775493577,0.8775460124015808,0.021206153919690798,0.1463151775493577,0.2418297827243805,0.2971050441265106,0.5118609132801821,0.0,1.0,4.0,-0.005824834108352661
01_1-1_1x_123_664,1-1_1x,123,664,660,0.16479755955717806,0.7381962537765503,0.007499395148356262,0.16479755955717806,0.4383414387702942,0.16664552688598633,0.29156734309935417,0.0,3.0,5.0,-0.010232493281364441
01_1-1_1x_123_701,1-1_1x,123,701,696,0.12473639522459748,0.7026662826538086,0.006249449879900264,0.12473639522459748,0.22381961345672607,0.16223523020744324,0.3001959814726674,0.0,4.0,6.0,-0.17107416689395905
01_1-1_1x_123_761,1-1_1x,123,761,756,0.09459083322097814,0.5714945197105408,0.02022151110369333,0.09459083322097814,0.5037480294704437,0.17428365349769592,0.43876859452356043,0.0,3.0,7.0,1.0701124966144562
01_1-1_1x_123_796,1-1_1x,123,796,791,0.12084745748192154,0.5175365209579468,0.0007099143610845086,0.12084745748192154,0.37320786714553833,0.10782887041568756,0.2631849082460948,1.0,1.0,4.0,-0.743996150791645
01_1-1_1x_130_138,1-1_1x,130,138,141,0.17129981014066883,0.6097397208213806,0.00644669750718294,0.17129981014066883,0.4181284010410309,0.12645567953586578,0.26165912534479535,0.0,1.0,8.0,0.005151137709617615
01_1-1_1x_130_191,1-1_1x,130,191,187,0.18032590039991317,0.7020258903503418,0.05832625014488999,0.18032590039991317,0.8784357011318207,0.23520587384700775,0.5038470192619255,1.0,1.0,8.0,0.36671672761440277
01_1-1_1x_130_251,1-1_1x,130,251,247,0.1965961372817117,0.5610468983650208,0.03634745231428454,0.1965961372817117,0.4457334876060486,0.16694030165672302,0.423591746626575,0.0,1.0,5.0,0.24706395715475082
01_1-1_1x_130_329,1-1_1x,130,329,325,0.24696068320423187,0.38914963603019714,0.26113236010939184,0.24696068320423187,0.3729022741317749,0.14986390620470047,0.6262968807792733,2.0,25.0,9.0,3.20344390720129
01_1-1_1x_130_370,1-1_1x,130,370,365,0.23693888912955585,0.6221115589141846,0.16232662564682002,0.23693888912955585,0.4707286059856415,0.25082455575466156,0.6755543652760048,0.0,8.0,9.0,1.8668600618839264
01_1-1_1x_130_389,1-1_1x,130,389,384,0.2435202211300155,0.8524455428123474,0.008313470312167613,0.2435202211300155,0.14869311451911926,0.38239483535289764,0.813518263635176,0.0,9.0,6.0,2.8201883286237717
01_1-1_1x_130_405,1-1_1x,130,405,400,0.25555304901747505,0.8068618178367615,0.17208236520331438,0.25555304901747505,0.42926156520843506,0.2318931221961975,0.40331434381457737,1.0,10.0,11.0,3.092521518468857
01_1-1_1x_130_476,1-1_1x,130,476,471,0.17470474633314373,0.7340037822723389,0.05238789108953539,0.17470474633314373,0.31042587757110596,0.0865531861782074,0.13368307435402163,0.0,7.0,2.0,0.20019105076789856
01_1-1_1x_130_502,1-1_1x,130,502,504,0.22836799811433994,0.7901740074157715,0.031609620399729664,0.22836799811433994,0.37002578377723694,0.152186781167984,0.2385420505407992,0.0,1.0,7.0,-0.23954224586486816
01_1-1_1x_130_555,1-1_1x,130,555,558,0.24304505373651275,0.8386279940605164,0.25262210165319,0.24304505373651275,0.45859426259994507,0.2077181041240692,0.32923577112571983,0.0,1.0,6.0,1.2708410918712616
01_1-1_1x_130_646,1-1_1x,130,646,641,0.1716833034186972,0.8001590371131897,0.00772401994470017,0.1716833034186972,0.3157786726951599,0.168075293302536,0.26590668554337077,0.0,4.0,5.0,1.2542536854743958
01_1-1_1x_130_678,1-1_1x,130,678,680,0.16503673651457312,0.7638462781906128,0.029776415790780324,0.16503673651457312,0.42458081245422363,0.1098138689994812,0.16790279419836773,0.0,1.0,4.0,-0.41263481974601746
01_1-1_1x_130_755,1-1_1x,130,755,750,0.22206793150225101,0.6033708453178406,0.1313937047977896,0.22206793150225101,0.3230781555175781,0.12160155177116394,0.2524061898506665,1.0,3.0,3.0,1.2534113079309464
01_1-1_1x_130_775,1-1_1x,130,775,772,0.20768592452084694,0.7585155367851257,0.018228137607459286,0.20768592452084694,0.28794950246810913,0.2281433641910553,0.4301571160402278,0.0,4.0,6.0,2.9352021515369415
01_1-1_1x_154_87,1-1_1x,154,87,83,0.10887129412678334,0.7433068752288818,0.022169639917761844,0.10887129412678334,0.39533019065856934,0.15459641814231873,0.262601787145743,0.0,1.0,2.0,-1.352601483464241
01_1-1_1x_154_120,1-1_1x,154,120,123,0.1342450286257707,0.6064995527267456,0.009108101714186249,0.1342450286257707,0.642218828201294,0.06237435340881348,0.11463235572805766,1.0,2.0,3.0,-0.5587491989135742
01_1-1_1x_154_182,1-1_1x,154,182,178,0.0856648139855527,0.6168859601020813,0.03512424678329323,0.0856648139855527,0.5047365128993988,0.20795980095863342,0.5085509848385191,0.0,4.0,4.0,-0.15115873515605927
01_1-1_1x_154_244,1-1_1x,154,244,244,0.10547174731271465,0.4470288157463074,0.044541745996604494,0.10547174731271465,0.4399435818195343,0.11962832510471344,0.365388350122147,1.0,3.0,5.0,0.3773229494690895
01_1-1_1x_154_331,1-1_1x,154,331,327,0.07657165466149354,0.487841933965683,0.04175326333859906,0.07657165466149354,0.2838190644979477,0.23465466499328613,0.9268027809837026,0.0,2.0,5.0,0.7295763865113258
01_1-1_1x_154_381,1-1_1x,154,381,379,0.07773940591026945,0.4043208956718445,0.003970969796866079,0.07773940591026945,0.40852608531713486,0.16771606355905533,0.7088446252826541,3.0,1.0,9.0,1.1582806445658207
01_1-1_1x_154_506,1-1_1x,154,506,509,0.09173365728452001,0.3494398593902588,0.0011947644255881436,0.09173365728452001,0.31303635239601135,0.07317298650741577,0.26486341175782724,0.0,3.0,4.0,1.3209897428750992
01_1-1_1x_154_534,1-1_1x,154,534,536,0.0715918333011878,0.42309054732322693,0.0831945344676477,0.0715918333011878,0.31596697866916656,0.11966641247272491,0.39438659858644703,0.0,1.0,2.0,-0.08650898188352585
01_1-1_1x_154_569,1-1_1x,154,569,574,0.07777297323396612,0.372903048992157,0.004681124541682472,0.07777297323396612,0.317709818482399,0.09631261229515076,0.34821381912295607,0.0,1.0,6.0,-1.3257277309894562
01_1-1_1x_154_684,1-1_1x,154,684,684,0.11080544232028247,0.42496585845947266,0.002107589776097738,0.11080544232028247,0.2839016020298004,0.1833018884062767,0.7584990363517061,0.0,4.0,2.0,1.8862736001610756
01_1-1_1x_154_729,1-1_1x,154,729,725,0.11971644064737935,0.420771062374115,0.0630638001852536,0.11971644064737935,0.2955741584300995,0.09712189435958862,0.30008386845360124,0.0,1.0,3.0,0.26635707169771194
01_1-1_1x_154_748,1-1_1x,154,748,745,0.10128832205570067,0.6172967553138733,0.011890015228393443,0.10128832205570067,0.6596963405609131,0.3010072559118271,0.9516827352184926,0.0,1.0,5.0,1.0994947031140327
01_1-1_1x_154_780,1-1_1x,154,780,776,0.16303930172666245,0.5811769366264343,0.00541307104675272,0.16303930172666245,0.4436302185058594,0.2262260466814041,0.6373446386243427,0.0,1.0,6.0,1.070848062634468
01_1-1_1x_154_826,1-1_1x,154,826,821,0.10597603563704097,0.5396753549575806,0.1446856506348588,0.10597603563704097,0.28724515438079834,0.14707247912883759,0.37460876672995125,0.0,1.0,4.0,-0.03576166182756424
01_1-1_1x_176_83,1-1_1x,176,83,78,0.23995758212289042,0.7155773043632507,0.5,0.23995758212289042,0.1130295991897583,0.09647336602210999,0.15582741450588367,5.0,,9.0,2.2359842658042908
01_1-1_1x_176_217,1-1_1x,176,217,213,0.24846711051703102,0.7847485542297363,0.5,0.24846711051703102,0.1666232943534851,0.1632506549358368,0.2626728990094902,10.0,,7.0,3.8079066276550293
01_1-1_1x_178_98,1-1_1x,178,98,93,0.08314810668956246,0.6204736232757568,0.005707696281476059,0.08314810668956246,0.35083311796188354,0.10969787836074829,0.2147672035190349,0.0,1.0,4.0,-1.1148455739021301
01_1-1_1x_178_131,1-1_1x,178,131,126,0.07222086328007166,0.5466403365135193,0.015219061807782345,0.07222086328007166,0.4034441411495209,0.09354211390018463,0.20644996875216542,0.0,1.0,2.0,-2.175552725791931
01_1-1_1x_178_205,1-1_1x,178,205,207,0.06939056365721166,0.40590760111808777,0.004187174348766992,0.06939056365721166,0.4572613537311554,0.11177089810371399,0.37999643348913176,1.0,1.0,1.0,-0.41945140808820724
01_1-1_1x_178_237,1-1_1x,178,237,234,0.0736856811816945,0.4071459174156189,0.016092213873006214,0.0736856811816945,0.15628427267074585,0.14815574884414673,0.5720516329300777,1.0,2.0,8.0,0.35798539966344833
01_1-1_1x_178_315,1-1_1x,178,315,312,0.2980350974188042,0.5051668882369995,0.0677414487963073,0.2980350974188042,0.28929951786994934,0.18961848318576813,0.6009172607130824,1.0,16.0,7.0,3.419898796826601
01_1-1_1x_178_366,1-1_1x,178,366,369,0.08474917247048527,0.5754417777061462,0.029720759743873698,0.08474917247048527,0.4533841013908386,0.08966955542564392,0.18459177226042683,0.0,1.0,8.0,-1.468655712902546
01_1-1_1x_178_469,1-1_1x,178,469,465,0.27771754659239795,0.627989649772644,0.007979922328292045,0.27771754659239795,0.6523426920175552,0.3239363580942154,1.0653933601771868,0.0,20.0,13.0,4.303338259458542
01_1-1_1x_178_533,1-1_1x,178,533,535,0.07565507359297753,0.46840980648994446,0.008664723141711062,0.07565507359297753,0.39588022232055664,0.0732576847076416,0.1853910954019898,0.0,1.0,2.0,-1.4952112436294556
01_1-1_1x_178_583,1-1_1x,178,583,578,0.08333383800987837,0.38822853565216064,0.00739133152656397,0.08333383800987837,0.38833098113536835,0.09548908472061157,0.32619137740659243,0.0,1.0,4.0,0.5981851518154144
01_1-1_1x_178_669,1-1_1x,178,669,674,0.0772111131358415,0.4776346683502197,0.0035460839194434717,0.0772111131358415,0.6612054854631424,0.20981919765472412,0.7834468901659798,0.0,1.0,8.0,0.41139279305934906
01_1-1_1x_178_720,1-1_1x,178,720,718,0.4123620128157719,0.6328768134117126,0.5270435976376641,0.4123620128157719,0.47829052805900574,0.39374659210443497,1.6465781278163008,1.0,,10.0,7.04261239618063
01_1-1_1x_178_789,1-1_1x,178,789,785,0.14039466569965373,0.7288910150527954,0.06949889230895782,0.14039466569965373,0.18067291378974915,0.05564481019973755,0.08265150222700852,0.0,1.0,4.0,-0.5408500730991364
01_1-1_1x_178_805,1-1_1x,178,805,806,0.10803811212351573,0.6950576305389404,0.023216176563689805,0.10803811212351573,0.3123816251754761,0.016529560089111328,0.02436090827923019,0.0,1.0,2.0,-1.6605857908725739
01_1-1_1x_201_58,1-1_1x,201,58,54,0.25917496296387565,0.9068831205368042,0.05431941817137976,0.25917496296387565,0.616222620010376,0.38999658823013306,0.7545110268006485,1.0,5.0,5.0,1.6924729198217392
01_1-1_1x_201_91,1-1_1x,201,91,91,0.1469600761592854,0.7848230600357056,0.03051083091840208,0.1469600761592854,0.37940627336502075,0.22827214002609253,0.41015499538146427,0.0,1.0,6.0,0.09827464818954468
01_1-1_1x_201_117,1-1_1x,201,117,113,0.2084207550669182,0.8343313932418823,0.01852641014364412,0.2084207550669182,0.6399959623813629,0.3152802884578705,0.6074166600397957,0.0,2.0,8.0,1.1135156601667404
