spike_key,video_id,roi_index,frame_index,cascade_peak_idx,prob_value,f_value,skew_contribution,spike_prob_value,max_second_derivative_raw,amplitude,relative_amplitude,rise_time,decay_time,fwhm,auc
03_2-1_6_90,2-1,6,90,95,0.073185372672435,0.3898077607154846,0.0018908765504454966,0.073185372672435,0.4006948471069336,0.0465872585773468,0.13573565182477523,0.0,1.0,5.0,-0.6528743207454681
03_2-1_6_135,2-1,6,135,130,0.3925903366420417,0.5657229423522949,0.0006029719471013089,0.3925903366420417,0.24104490876197815,0.26621657609939575,0.8888511433997568,3.0,,12.0,5.367394238710403
03_2-1_6_408,2-1,6,408,404,0.46906217822388213,0.46631351113319397,0.18164408219883119,0.46906217822388213,0.17671968042850494,0.3211653530597687,2.2126726051687307,4.0,,11.0,8.178500277921557
03_2-1_6_570,2-1,6,570,565,0.4316496585206008,0.6872249245643616,0.04140530650764975,0.4316496585206008,0.5173164010047913,0.4244358241558075,1.6151195901806574,1.0,,14.0,8.32888612896204
03_2-1_6_681,2-1,6,681,676,0.4197694011697469,0.7750504612922668,0.08141180733737693,0.4197694011697469,0.5200328379869461,0.4290200471878052,1.2398333490370304,4.0,,13.0,6.557400122284889
03_2-1_6_838,2-1,6,838,834,0.32258699428813115,0.5982242226600647,0.027524876715943922,0.32258699428813115,0.2885063588619232,0.26814593374729156,0.8123707094778115,5.0,40.0,11.0,4.309359326958656
03_2-1_16_88,2-1,16,88,85,0.431739187981666,0.5895485281944275,0.26212442783067347,0.431739187981666,0.295910507440567,0.28345513343811035,0.9260413269086409,3.0,,11.0,5.612916044890881
03_2-1_16_606,2-1,16,606,601,0.42532965141975665,0.47105956077575684,0.25135970243303024,0.42532965141975665,0.22094859182834625,0.34378882870078087,2.7012402859304117,6.0,,14.0,7.607578027993441
03_2-1_16_846,2-1,16,846,841,0.3741657001238148,0.40633291006088257,0.2123451139886635,0.3741657001238148,0.25312190502882004,0.2808469608426094,2.2380749605208603,5.0,,14.0,6.494683871977031
03_2-1_20_112,2-1,20,112,109,0.2919332300532691,0.4895257353782654,0.1960433212228794,0.2919332300532691,0.28751103579998016,0.23298348486423492,0.9081680869229488,2.0,,10.0,2.910270594060421
03_2-1_20_151,2-1,20,151,155,0.13099628289952117,0.6899373531341553,0.07888179412167215,0.13099628289952117,0.31155186891555786,0.1161019504070282,0.20232622430623637,0.0,1.0,8.0,1.5370690077543259
03_2-1_20_178,2-1,20,178,173,0.21824489830544763,0.7334010601043701,0.01557983881220591,0.21824489830544763,0.30542564392089844,0.15079247951507568,0.25882296371699975,0.0,9.0,1.0,1.1335296928882599
03_2-1_20_250,2-1,20,250,246,0.1663441401946266,0.5610772967338562,0.0021624486007838675,0.1663441401946266,0.17238396406173706,0.09205411374568939,0.19626772638232654,2.0,9.0,6.0,1.1930356174707413
03_2-1_20_283,2-1,20,283,281,0.193128583561695,0.631706178188324,0.0016366488195499415,0.193128583561695,0.3449406921863556,0.10884049534797668,0.20816148184888666,0.0,1.0,5.0,0.5229945480823517
03_2-1_20_356,2-1,20,356,354,0.10384550568137296,0.5048571228981018,0.050604471317691135,0.10384550568137296,0.2830839157104492,0.03679327666759491,0.07860738863705223,0.0,1.0,1.0,-1.3261597901582718
03_2-1_20_465,2-1,20,465,462,0.19513693553962597,0.39520925283432007,0.018483961472099585,0.19513693553962597,0.42417652904987335,0.18262312561273575,0.8590547652358457,0.0,,12.0,2.3977660536766052
03_2-1_20_536,2-1,20,536,538,0.2172439048245436,0.7044358253479004,0.034617592721147984,0.2172439048245436,0.3420226275920868,0.33776430785655975,0.9211631985146935,0.0,2.0,7.0,2.305375687777996
03_2-1_20_661,2-1,20,661,656,0.3956782729097017,0.6061901450157166,0.2934855876753571,0.3956782729097017,0.21584755182266235,0.36876974254846573,1.5532352683941428,5.0,,15.0,6.77496574819088
03_2-1_20_761,2-1,20,761,758,0.17273228245991462,0.4808160364627838,0.00936934317425197,0.17273228245991462,0.30317744612693787,0.03015759587287903,0.06691896380194991,0.0,7.0,3.0,-0.3719480335712433
03_2-1_21_92,2-1,21,92,87,0.37875711250019184,0.7624821662902832,0.011029799970760335,0.37875711250019184,0.2631586790084839,0.25809746980667114,0.5117075748055671,3.0,,14.0,4.2972443252801895
03_2-1_21_136,2-1,21,136,133,0.17157941390021542,0.91681307554245,0.002266391107302233,0.17157941390021542,0.29135066270828247,0.1299682855606079,0.16517652174275332,0.0,1.0,5.0,-0.08628779649734497
03_2-1_21_272,2-1,21,272,268,0.41905076872985825,0.6398341655731201,0.06290768004352877,0.41905076872985825,0.18720191717147827,0.3202265053987503,1.0019362653074175,3.0,,14.0,6.678248018026352
03_2-1_21_516,2-1,21,516,512,0.4558068640101878,0.5345559120178223,0.11990475794970105,0.4558068640101878,0.27239103615283966,0.44545403122901917,4.999378546058668,4.0,,15.0,8.545023836195469
03_2-1_21_556,2-1,21,556,554,0.23359228011460997,0.7595746517181396,0.006960978424104739,0.23359228011460997,0.2341378927230835,0.12321588397026062,0.19362644189901052,2.0,,4.0,1.9875066876411438
03_2-1_21_715,2-1,21,715,710,0.36700567982374055,0.5743547081947327,0.01486519167413788,0.36700567982374055,0.26434260606765747,0.26308222115039825,0.8451830216299443,3.0,,15.0,5.247526183724403
03_2-1_21_753,2-1,21,753,751,0.16780702047697002,0.7322342395782471,0.0006430711099871515,0.16780702047697002,0.22220242023468018,0.0926114022731781,0.1447906435976847,0.0,2.0,7.0,0.5652512907981873
03_2-1_23_87,2-1,23,87,83,0.3471591765004432,0.7337087392807007,0.24244634895663647,0.3471591765004432,0.3367086350917816,0.2495974898338318,0.5155787850809385,0.0,,10.0,3.2266869246959686
03_2-1_23_165,2-1,23,165,164,0.12689039568689345,0.8398562669754028,0.027252499797558023,0.12689039568689345,0.3742760419845581,0.028406798839569092,0.035007477304568144,0.0,1.0,2.0,-1.659668207168579
03_2-1_23_188,2-1,23,188,191,0.08855679568761451,0.7671093940734863,0.006057343486023913,0.08855679568761451,0.5322333574295044,0.06955760717391968,0.09971676437542346,0.0,1.0,5.0,-0.2771436870098114
03_2-1_23_258,2-1,23,258,258,0.0720670135664582,0.5815223455429077,0.004324790611148886,0.0720670135664582,0.1615266501903534,0.11114993691444397,0.23630199151889184,0.0,1.0,5.0,-0.7014957815408707
03_2-1_23_336,2-1,23,336,333,0.13524818244350362,0.48259758949279785,0.012081623158449795,0.13524818244350362,0.15342631936073303,0.1601802110671997,0.49681010325615343,0.0,1.0,5.0,0.24522454291582108
03_2-1_23_606,2-1,23,606,602,0.36679280748885673,0.5889964699745178,0.3666547603999768,0.36679280748885673,0.3888076990842819,0.4060138612985611,2.2188658487078934,2.0,,10.0,6.290124163031578
03_2-1_23_680,2-1,23,680,677,0.10335315873750012,0.7568723559379578,0.03521125891118495,0.10335315873750012,0.5037685036659241,0.09695935249328613,0.14692747678431736,0.0,1.0,7.0,-0.5284355282783508
03_2-1_23_844,2-1,23,844,841,0.37611419548970615,0.4823383390903473,0.42031666200290796,0.37611419548970615,0.09858299791812897,0.3059629276394844,1.7347255216735458,4.0,,11.0,5.430692866444588
03_2-1_26_145,2-1,26,145,141,0.1711189036674154,0.5796563029289246,0.020991971877676447,0.1711189036674154,0.44236721098423004,0.15111465752124786,0.3526253729144357,1.0,2.0,4.0,-1.527505874633789
03_2-1_26_242,2-1,26,242,237,0.21438466895433816,0.5064912438392639,0.04667083193291866,0.21438466895433816,0.5534794628620148,0.20806388556957245,0.6972011104341957,2.0,1.0,5.0,1.6744696199893951
03_2-1_26_301,2-1,26,301,304,0.07659596654602568,0.5787242650985718,0.008923450096191173,0.07659596654602568,0.5356940627098083,0.1853853464126587,0.4713119846670744,0.0,1.0,7.0,-0.7887391448020935
03_2-1_26_345,2-1,26,345,341,0.21881780747347904,0.6241133213043213,0.03643000893626294,0.21881780747347904,0.40205779671669006,0.3403691053390503,1.1995631494412908,1.0,1.0,8.0,2.7154728025197983
03_2-1_26_447,2-1,26,447,442,0.17035012595191107,0.5274735689163208,0.016125438771565078,0.17035012595191107,0.6714130342006683,0.21341103315353394,0.6795176401260558,0.0,3.0,6.0,0.4484016001224518
03_2-1_26_480,2-1,26,480,477,0.24286413511848579,0.7907532453536987,0.14668922985644336,0.24286413511848579,0.3650677502155304,0.39358821511268616,0.990994133783239,0.0,2.0,4.0,3.5902209281921387
03_2-1_26_538,2-1,26,538,533,0.21812633099171955,0.6212359070777893,0.0006409361625374669,0.21812633099171955,0.34536653757095337,0.12399038672447205,0.2493544570021884,0.0,10.0,5.0,0.539563313126564
03_2-1_26_550,2-1,26,550,555,0.12261819228066609,0.8194860219955444,0.014303303380070003,0.12261819228066609,0.25005829334259033,0.2874424457550049,0.5402610962547375,0.0,1.0,7.0,0.6672228276729584
03_2-1_26_599,2-1,26,599,596,0.2786849654184172,0.6517070531845093,0.12573218285583243,0.2786849654184172,0.29265546798706055,0.23875097930431366,0.578151029626407,0.0,2.0,8.0,1.5617681592702866
03_2-1_26_635,2-1,26,635,636,0.2821066679495314,0.7496262192726135,0.05374214681663545,0.2821066679495314,0.6493479311466217,0.21639055013656616,0.4058065929594767,0.0,1.0,8.0,1.7728570103645325
03_2-1_26_694,2-1,26,694,694,0.12189257211663959,0.8197295069694519,0.015366871105842133,0.12189257211663959,0.5585007667541504,0.1049267053604126,0.14679112214476484,0.0,1.0,3.0,-1.2107336819171906
