spike_key,roi_index,skew_contribution,spike_prob_value,max_second_derivative_raw,model_prob,suggested_priority
3-2_587_111,587,0.2488003633855735,0.3054193961411713,16.687808990478516,0.9999999999999996,high_conf_pos
3-2_587_195,587,0.07225551618099373,0.30202579763280374,23.04338836669922,1.0,high_conf_pos
3-2_587_231,587,0.012179694449865311,0.1172322325782891,15.87967300415039,0.9999999999999838,high_conf_pos
3-2_587_262,587,0.027730353762723477,0.2436344563225188,17.585559844970703,0.9999999999999998,high_conf_pos
3-2_587_296,587,0.020297013237028982,0.23804852057347156,20.88225555419922,1.0,high_conf_pos
3-2_587_391,587,0.03948326587387517,0.2318359817896931,11.300125122070312,0.9999999997289051,high_conf_pos
3-2_587_477,587,0.17174821634028745,0.2663927273086625,11.287443161010742,0.9999999998663769,high_conf_pos
3-2_587_567,587,0.04285614595698684,0.06346262359200791,9.907835006713867,0.9999999901038031,high_conf_pos
3-2_587_757,587,0.05764566960991914,0.2647988828912515,9.010517120361328,0.9999999630264536,high_conf_pos
