spike_key,roi_index,skew_contribution,spike_prob_value,max_second_derivative_raw,model_prob,suggested_priority
2-1_339_91,339,0.008093895595939852,0.1973429920285638,2.6786575317382812,0.9283855737635334,high_conf_pos
2-1_339_116,339,0.010131044386416514,0.2216873388955376,5.856328964233398,0.9999403432314695,high_conf_pos
2-1_339_150,339,0.005448860776551271,0.22709158112505706,4.551977157592773,0.9989032465588519,high_conf_pos
2-1_339_204,339,0.01138647076685739,0.19899935535167929,3.4136428833007812,0.9855245088893858,high_conf_pos
2-1_339_321,339,0.004102542622335336,0.19569938971243653,7.275234222412109,0.9999971865718429,high_conf_pos
2-1_339_394,339,0.018704554330258426,0.24297108057889466,3.9478673934936523,0.9962398216895042,high_conf_pos
2-1_339_426,339,0.0012401820490864411,0.1202592635151544,6.355500221252441,0.9999721594413428,high_conf_pos
2-1_339_496,339,0.2824928882500512,0.40903575193470315,7.494795799255371,0.9999997607029938,high_conf_pos
2-1_339_539,339,0.0057101395528889815,0.2132962710900039,3.431873321533203,0.9863147173928628,high_conf_pos
2-1_339_594,339,0.04810182580946862,0.30737115950218535,4.726226806640625,0.9995240180258913,high_conf_pos
2-1_339_620,339,0.00042040694440872956,0.16855655726364233,7.219343185424805,0.9999964785203709,high_conf_pos
2-1_339_688,339,0.013692590609825733,0.2678668039307129,6.7266693115234375,0.9999926692752943,high_conf_pos
2-1_339_720,339,0.01500508835772153,0.16827699695815101,5.92457389831543,0.9999411279198809,high_conf_pos
2-1_339_760,339,0.014354180808542867,0.1279692270530924,8.70614242553711,0.9999998643363632,high_conf_pos
2-1_339_791,339,0.0023404295871527294,0.20146324147235042,3.1342105865478516,0.9724110702844446,high_conf_pos
