peak_index,prev_sharpness_preonly,prev_depth,prev_sharpness,sum_depth_preonly,sum_sharpness_preonly,next_depth,sum_sharpness,sum_depth,next_sharpness,next_sharpness_preonly,next_depth_preonly,prev_depth_preonly
791,88.000000,89.812002,70.312377,127.000000,122.000000,63.285117,62.855771,65.341832,76.571751,119.000000,123.000000,116.000000
796,68.000000,75.005321,81.497245,67.000001,60.000001,58.994490,72.992779,50.005892,69.992779,77.000001,63.000001,92.000000
798,87.738582,67.470970,87.549472,42.144008,79.007523,56.903943,78.606229,42.498327,66.448165,66.765180,57.151531,67.144008
805,67.010644,102.997727,67.018032,80.981702,35.019485,30.148029,35.036738,81.016350,32.041600,32.011969,30.009639,102.982854
816,70.000000,49.320341,34.029260,94.999998,41.999999,35.313498,14.205373,23.875187,30.103173,43.999999,85.999994,108.999999
819,26.108795,37.095841,26.789443,8.215118,8.084069,25.007079,8.827084,9.365749,27.525154,27.042035,24.153303,36.180501
828,80.999369,29.439127,23.344266,100.998932,67.999311,50.793224,21.919675,31.336338,46.748727,65.999552,92.999208,109.999151
830,12.414663,9.745260,9.159519,8.600310,7.035256,57.977410,16.890881,24.160853,57.963268,26.944461,25.367237,13.790014
833,5.763723,9.700297,10.237477,29.377196,20.373026,90.617338,29.947570,46.010769,84.886726,74.050828,73.516002,5.776831
837,13.697536,13.308836,13.971082,59.117784,37.503324,103.685396,37.357808,59.220485,93.144573,93.633652,104.256097,12.731588
845,55.999987,102.000099,56.000279,74.999995,15.000007,15.999964,15.000273,75.000202,17.999951,18.000023,16.000027,101.999973
856,124.999999,129.770984,121.111077,123.999999,77.999999,0.952574,74.585336,120.585336,0.952574,1.000000,1.000000,131.999999
